displayName,printYear,author,printLocation,category,source,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,displayNameEnglish,authorEnglish,categoryEnglish,printLocationEnglish,underwentBerelUnflagging,fileName,notHumanReviewed
אבני חפץ,1947,הרב אהרן לוין,מינכן,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/avneichefetz/avneichefetz__text_files.zip,https://files.dicta.org.il/avneichefetz/avneichefetz__nikud_meteg_files.zip,https://files.dicta.org.il/avneichefetz/avneichefetz__ocr_data_html_files.zip,avneichefetz,Avnei Chefetz,Aharon Levin,Responsa,Munich,,avneichefetz,
אבני האפוד,1913,רבי דוד פיפאנו,סופיה,"שו""ת",,https://files.dicta.org.il/avneihaephod/avneihaephod__text_files.zip,https://files.dicta.org.il/avneihaephod/avneihaephod__nikud_meteg_files.zip,https://files.dicta.org.il/avneihaephod/avneihaephod__ocr_data_html_files.zip,avneihaephod_EGT,Avnei HaEphod,Rabbi David Pipano,Responsa,,,avneihaephod,
אבני מילואים,1860,רבי אריה לייב הכהן,הלברשטאט,"שו""ת",,https://files.dicta.org.il/avneimiluim/avneimiluim__text_files.zip,https://files.dicta.org.il/avneimiluim/avneimiluim__nikud_meteg_files.zip,https://files.dicta.org.il/avneimiluim/avneimiluim__ocr_data_html_files.zip,avneimiluim_EGT,Avnei Milu'im,rabbi aryeh leib hacohen,Responsa,Halberstadt,,avneimiluim,
אבני נזר חושן משפט,1934,רבי אברהם בורנשטיין, פיעטרקוב,"שו""ת",,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__text_files.zip,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__ocr_data_html_files.zip,avneinezerchoshenmishpat_EGT,Avnei Nezer Choshen Mishpat,Avraham Borenstein,Responsa,Piotrkow,,avneinezerchoshenmishpat,
אבני נזר אבן העזר,1926,רבי אברהם בורנשטיין,לאדז,"שו""ת",,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__text_files.zip,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__ocr_data_html_files.zip,avneinezerevenhaezer_EGT,Avnei Nezer Even Haezer,Avraham Borenstein,Responsa,Lodz,,avneinezerevenhaezer,
אבני נזר יורה דעה,1913,רבי אברהם בורנשטיין,פיעטרקוב ,"שו""ת",,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__text_files.zip,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__ocr_data_html_files.zip,avneinezeryorehdeah_EGT,Avnei Nezer Yoreh Deah,Avraham Borenstein,Responsa,Piotrkow,,avneinezeryorehdeah,
אבני שיש,1930,רבי שאול ישועה אביטבול,ירושלים,"שו""ת",,https://files.dicta.org.il/avneishayish1/avneishayish1__text_files.zip,https://files.dicta.org.il/avneishayish1/avneishayish1__nikud_meteg_files.zip,https://files.dicta.org.il/avneishayish1/avneishayish1__ocr_data_html_files.zip,avneishayish1_EGT,Avnei Shayish,rabbi shaul yeshua abitbul,Responsa,Jerusalem,,avneishayish1,
אבני שיש חלק א,1930,רבי שאול ישועה אביטבול,ירושלים,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/avneishayish2/avneishayish2__text_files.zip,https://files.dicta.org.il/avneishayish2/avneishayish2__nikud_meteg_files.zip,https://files.dicta.org.il/avneishayish2/avneishayish2__ocr_data_html_files.zip,avneishayish2_EGT,Avnei Shayish part 2,rabbi shaul yeshua abitbul,Responsa,Jerusalem,,avneishayish2,
עבודת עבודה חלק א,1907,שלמה קלוגר,זולקוה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/avodatavodah1/avodatavodah1__text_files.zip,https://files.dicta.org.il/avodatavodah1/avodatavodah1__nikud_meteg_files.zip,https://files.dicta.org.il/avodatavodah1/avodatavodah1__ocr_data_html_files.zip,avodatavodah1,Avodat Avodah part 1,Shlomo Kluger,Acharonim on Talmud Bavli,Zholkva,,avodatavodah1,
עבודת הכהן,1889,"טריווש, הילל דוד בן עוזר הכהן",ורשה,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/avodathacohen/avodathacohen__text_files.zip,https://files.dicta.org.il/avodathacohen/avodathacohen__nikud_meteg_files.zip,https://files.dicta.org.il/avodathacohen/avodathacohen__ocr_data_html_files.zip,avodathacohen,Avodat haCohen,"Travis, Hillel Dovid",Halachah and Minhagim,Warsaw,,avodathacohen,
עבודת הגרשוני,1861,רבי גרשון בן יצחק אשכנזי,לבוב,"שו""ת",,https://files.dicta.org.il/avodathagershuni/avodathagershuni__text_files.zip,https://files.dicta.org.il/avodathagershuni/avodathagershuni__nikud_meteg_files.zip,https://files.dicta.org.il/avodathagershuni/avodathagershuni__ocr_data_html_files.zip,avodathagershuni_EGT,Avodat HaGershuni,Gershon Ashkenazi,Responsa,,,avodathagershuni,
עבודת לוי,1930,יעקב יצחק רודרמן,קיידאן,"מפרשים וחיבורים על הרמב""ם",,https://files.dicta.org.il/avodatlevi/avodatlevi__text_files.zip,https://files.dicta.org.il/avodatlevi/avodatlevi__nikud_meteg_files.zip,https://files.dicta.org.il/avodatlevi/avodatlevi__ocr_data_html_files.zip,avodatlevi_EGT,Avodat Levi,Yaakov Yitzchok Ruderman,Commentaries on the Rambam,,,avodatlevi,
"אברהם יגל על הרמב""ם",1834,ר' אבהרם הכהן,ליוורנו,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__text_files.zip,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__ocr_data_html_files.zip,avrahamyagelrambam,Avraham Yagel (Rambam),Rabbi Avraham Hacohen,Commentaries on the Rambam,Levorno,,avrahamyagelrambam,
אברהם יגל (על השולחן ערוך),1834,ר' אבהרם הכהן,ליוורנו,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__text_files.zip,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__ocr_data_html_files.zip,avrahamyagelshulchanaruch,Avraham Yagel (shulchan aruch),Rabbi Avraham Hacohen,Commentaries on Shulchan Aruch,Levorno,,avrahamyagelshulchanaruch,
"אברהם יגל (על התנ""ך)",1834,ר' אבהרם הכהן,ליוורנו,"מפרשי התנ""ך",ספריית דיקטה,https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__text_files.zip,https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyageltanch/avrahamyageltanch__ocr_data_html_files.zip,avrahamyageltanch,Avraham Yagel (tanch),Rabbi Avraham Hacohen,Bible Commentaries,Levorno,,avrahamyageltanch,
בעלי הנפש,1858,רבי אברהם בן דוד מפּוֹשְקְיֶרָה,לעמבערג,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__text_files.zip,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__nikud_meteg_files.zip,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__ocr_data_html_files.zip,baaleihanefesh,Ba’alei Ha-Nefesh,Abraham ben David,Halachah and Minhagim,Lemberg,,baaleihanefesh,
"ב""ח",1834,רבי יואל בן שמואל סירקיש,אוסטרהא,"שו""ת",,https://files.dicta.org.il/bach/bach__text_files.zip,https://files.dicta.org.il/bach/bach__nikud_meteg_files.zip,https://files.dicta.org.il/bach/bach__ocr_data_html_files.zip,bach_EGT,bach,rabbi Yoel ben Shmuel Sirkish,Responsa,Austria,,bach,
"באר היטב (עה""ת)",1867,ר' אריה רבינוביץ',וילנה,"מפרשי התנ""ך",ספריית דיקטה,https://files.dicta.org.il/baerhetev/baerhetev__text_files.zip,https://files.dicta.org.il/baerhetev/baerhetev__nikud_meteg_files.zip,https://files.dicta.org.il/baerhetev/baerhetev__ocr_data_html_files.zip,baerhetev,Baer Hetev (torah),rabbi arie rabinowitz,Bible Commentaries,Vilna,,baerhetev,
בית אבא,1936,"גוטוירט, אליהו יהודה",לבוב,ביאורים וליקוטים,ספריית דיקטה,https://files.dicta.org.il/baitabba/baitabba__text_files.zip,https://files.dicta.org.il/baitabba/baitabba__nikud_meteg_files.zip,https://files.dicta.org.il/baitabba/baitabba__ocr_data_html_files.zip,baitabba,Bait Abba,Eliyahu Yehudah Gutwirth,Biurim veLikutim,Lvov,,baitabba,
בית אברהם לנדא,1899,ר' אברהם לנדא מצ'כנוב,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/baitavraham/baitavraham__text_files.zip,https://files.dicta.org.il/baitavraham/baitavraham__nikud_meteg_files.zip,https://files.dicta.org.il/baitavraham/baitavraham__ocr_data_html_files.zip,baitavraham,Bait Avraham (Landau),"Landau, Avraham",Acharonim on Talmud Bavli,Warsaw,,baitavraham,
בית דוד (דרשות),1904,"רובין, דוד טבל בן משה",ירושלים,דרשות,ספריית דיקטה,https://files.dicta.org.il/baitdovidderashot/baitdovidderashot__text_files.zip,https://files.dicta.org.il/baitdovidderashot/baitdovidderashot__nikud_meteg_files.zip,https://files.dicta.org.il/baitdovidderashot/baitdovidderashot__ocr_data_html_files.zip,baitdovidderashot,Bait Dovid (derashot),Dovid Tavil Rubin,Derashot,Jerusalem,,baitdovidderashot,
"שו""ת בית דוד",1854,"רובין, דוד טבל בן משה",ורשה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/baitdovidresponsa/baitdovidresponsa__text_files.zip,https://files.dicta.org.il/baitdovidresponsa/baitdovidresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/baitdovidresponsa/baitdovidresponsa__ocr_data_html_files.zip,baitdovidresponsa,Bait Dovid responsa,Dovid Tavil Rubin,Responsa,Warsaw,,baitdovidresponsa,
בית אליקום,1886,"פודרוביניק, אליקום גצל מאיר בן יצחק",וורשה,ביאורים וליקוטים,ספריית דיקטה,https://files.dicta.org.il/baiteliakum/baiteliakum__text_files.zip,https://files.dicta.org.il/baiteliakum/baiteliakum__nikud_meteg_files.zip,https://files.dicta.org.il/baiteliakum/baiteliakum__ocr_data_html_files.zip,baiteliakum,Bait Eliakum,Eliakum Getsil Meir ben Yitzhak,Biurim veLikutim,Warsaw,,baiteliakum,
בית האוצר חלק א,1903,ר' יוסף ענגיל,פיוטרקוב,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/baithaotzar1/baithaotzar1__text_files.zip,https://files.dicta.org.il/baithaotzar1/baithaotzar1__nikud_meteg_files.zip,https://files.dicta.org.il/baithaotzar1/baithaotzar1__ocr_data_html_files.zip,baithaotzar1,Bait haOtzar part 1,Yosef Engil,Chiddushim by Topic,Piotrkow,,baithaotzar1,
בית האוצר חלק ב,1908,ר' יוסף ענגיל,פיוטרקוב,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/baithaotzar2/baithaotzar2__text_files.zip,https://files.dicta.org.il/baithaotzar2/baithaotzar2__nikud_meteg_files.zip,https://files.dicta.org.il/baithaotzar2/baithaotzar2__ocr_data_html_files.zip,baithaotzar2,Bait haOtzar part 2,Yosef Engil,Chiddushim by Topic,Piotrkow,,baithaotzar2,
"שו""ת ברוך השם",1911,ר' משה רוטמן,ברדיצ'ב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__text_files.zip,https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/baruchhashemresponsa/baruchhashemresponsa__ocr_data_html_files.zip,baruchhashemresponsa,Baruch HaShem Responsa,moshe rotman,Responsa,,,baruchhashemresponsa,
ברוך שאמר,1905,ברוך תאומים-פרנקל,פיטרקוב,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/baruchsheamar/baruchsheamar__text_files.zip,https://files.dicta.org.il/baruchsheamar/baruchsheamar__nikud_meteg_files.zip,https://files.dicta.org.il/baruchsheamar/baruchsheamar__ocr_data_html_files.zip,baruchsheamar_EGT,Baruch She’amar,Baruch ben Yehoshua Yechezkel Feivel Fränkel-Te'omim,Acharonim on Talmud Bavli,פיטרקוב,,baruchsheamar,
ברוך טעם,1902,ברוך תאומים-פרנקל,לובלין,ספרי מערכות ועניינים,,https://files.dicta.org.il/baruchtaam/baruchtaam__text_files.zip,https://files.dicta.org.il/baruchtaam/baruchtaam__nikud_meteg_files.zip,https://files.dicta.org.il/baruchtaam/baruchtaam__ocr_data_html_files.zip,baruchtaam_EGT,Baruch Ta’am,Boruch Franekl Teumim,Chiddushim by Topic,Lublin,,baruchtaam,
בת עין,1869,ר' אברהם דוד מאבריטש,ז'יטומיר,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/batayin/batayin__text_files.zip,https://files.dicta.org.il/batayin/batayin__nikud_meteg_files.zip,https://files.dicta.org.il/batayin/batayin__ocr_data_html_files.zip,batayin,Bat Ayin,Rabbi Avraham David of Abritch,Sifrei Chasidut,Zhytomyr,,batayin,
בית נאמן,1891,רבי יצחק אייזק חבר,וורשה,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/bayitneeman/bayitneeman__text_files.zip,https://files.dicta.org.il/bayitneeman/bayitneeman__nikud_meteg_files.zip,https://files.dicta.org.il/bayitneeman/bayitneeman__ocr_data_html_files.zip,bayitneeman_EGT,Bayit Ne’eman,Rabbi Yitzchak Isaac Hever,Chiddushim by Topic,Warsaw,,bayitneeman,
באר מים חיים (נוסינזון),1901,ר' חיים נוסינסון,וילנה,ביאורים וליקוטים,ספריית דיקטה,https://files.dicta.org.il/beermayimchaimnosinson/beermayimchaimnosinson__text_files.zip,https://files.dicta.org.il/beermayimchaimnosinson/beermayimchaimnosinson__nikud_meteg_files.zip,https://files.dicta.org.il/beermayimchaimnosinson/beermayimchaimnosinson__ocr_data_html_files.zip,beermayimchaimnosinson,Beer Mayim Chaim (Nosinson),rabbi Chaim Nosinson,Biurim veLikutim,Vilna,,beermayimchaimnosinson,
