title,author,pubDate,pubPlace,compPlace,compDate,תיאור_חדש,heShortDesc,heDesc,order,Source,type
 קרבן נתנאל על סוכה,נתנאל וייל,,,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על עירובין,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על פסחים,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על קידושין,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על ראש השנה,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על תענית,נתנאל וייל,,,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 תפארת שמואל על גיטין,אהרן שמואל קאידנוור,ה' תנו,"פרנקפורט, גרמניה",קרקוב,ה' תה - ה' תה (בקירוב),,,"פירוש על פסקי הרא""ש, חיבר הרב אהרן שמואל קאיידנובר.",,sefaria,file
 תפארת שמואל על יבמות,אהרן שמואל קאידנוור,ה' תנו,"פרנקפורט, גרמניה",קרקוב,ה' תה - ה' תה (בקירוב),,,"פירוש על פסקי הרא""ש, חיבר הרב אהרן שמואל קאיידנובר.",,sefaria,file
 תפארת שמואל על נדרים,אהרן שמואל קאידנוור,ה' תנה,"פרנקפורט, גרמניה",,ה' תה - ה' תה (בקירוב),,,"פירוש על פסקי הרא""ש, חיבר הרב אהרן שמואל קאיידנובר.",,sefaria,file
 תפארת שמואל על סוכה,אהרן שמואל קאידנוור,ה' תנב,"המבורג, גרמניה","קרקוב, פולין",ה' תה - ה' תה (בקירוב),,,"פירוש על פסקי הרא""ש, חיבר הרב אהרן שמואל קאיידנובר.",,sefaria,file
 תפארת שמואל על פסחים,אהרן שמואל קאידנוור,ה' תנו,"פרנקפורט, גרמניה",קרקוב,ה' תה - ה' תה (בקירוב),,,"פירוש על פסקי הרא""ש, חיבר הרב אהרן שמואל קאיידנובר.",,sefaria,file
 תפארת שמואל על קידושין,אהרן שמואל קאידנוור,ה' תנו,"פרנקפורט, גרמניה",קרקוב,ה' תה - ה' תה (בקירוב),,,"פירוש על פסקי הרא""ש, חיבר הרב אהרן שמואל קאיידנובר.",,sefaria,file
 תפארת שמואל על שבועות,אהרן שמואל קאידנוור,ה' תנו,"פרנקפורט, גרמניה",קרקוב,ה' תה - ה' תה (בקירוב),,,"פירוש על פסקי הרא""ש, חיבר הרב אהרן שמואל קאיידנובר.",,sefaria,file
אבודרהם,אבודרהם,ה' רמט,"ליסבון, פורטוגל","סביליה, ספרד",ה' צ - ה' צ (בקירוב),,"אוסף הלכות, מנהגים, ופירושים לתפילה, מן המאה ה-14.","נקרא במקורו ""חיבור על פירוש הברכות והתפילות"", אבל נודע בשם מחברו ""אבודרהם"". כולל פירוש ומנהגים על סדר התפילה.",,sefaria,file
אבות דרבי נתן,,ה' שי,ונציה,ישראל / בבל התלמודית,ד' תי - ד' תי (בקירוב),ברייתא דמסכת אבות,ברייתא דמסכת אבות,,,sefaria,file
אבי עזר,שלמה בן אליעזר ליפמן הכהן מליסא,ה' תקסב,פוזן,פוזן,ה' תקכ - ה' תקכ (בקירוב),,"ביאור לפירוש אבן עזרא לתורה, מן המאה ה-18.","ביאור לפירושו של האבן עזרא לחומש, נדפס ברוב המהדורות של מקראות גדולות.",,sefaria,file
אבי עזר,,,,,,,"ביאור לפירוש אבן עזרא לתורה, מן המאה ה-18.",,,sefaria,file
אבן האזל,,,,,,,,,,sefaria,folder
"אבן האזל על משנה תורה, הלכות אבל",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות איסורי ביאה",איסר זלמן מלצר,ה' תשיה,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות איסורי המזבח",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות אישות",איסר זלמן מלצר,ה' תשיה,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות ביאת מקדש",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות בית הבחירה",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות בכורות",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות ברכות",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות גזילה ואבידה",איסר זלמן מלצר,ה' תרצה,ירושלים,ירושלים,ה' תרפה - ה' תרפה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות גירושין",איסר זלמן מלצר,ה' תשיה,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות גניבה",איסר זלמן מלצר,ה' תרצה,ירושלים,ירושלים,ה' תרפה - ה' תרפה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות דעות",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תש - ה' תש (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות זכייה ומתנה",איסר זלמן מלצר,ה' תרצח,ירושלים,ירושלים,ה' תרפח - ה' תרפח (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות חגיגה",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות חובל ומזיק",איסר זלמן מלצר,ה' תרצה,ירושלים,ירושלים,ה' תרפה - ה' תרפה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות חמץ ומצה",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות טוען ונטען",איסר זלמן מלצר,ה' תשה,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות יבום וחליצה",איסר זלמן מלצר,ה' תשיה,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות יסודי התורה",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות כלי המקדש והעובדין בו",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות מאכלות אסורות",איסר זלמן מלצר,ה' תשיה,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות מגילה וחנוכה",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות מחוסרי כפרה",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות מכירה",איסר זלמן מלצר,ה' תרצח,ירושלים,ירושלים,ה' תרפח - ה' תרפח (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות מלווה ולווה",איסר זלמן מלצר,ה' תשה,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות מלכים ומלחמות",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות ממרים",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות מעילה",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות מעשה הקרבנות",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות נזקי ממון",איסר זלמן מלצר,ה' תרצה,ירושלים,ירושלים,ה' תרפה - ה' תרפה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות נחלות",איסר זלמן מלצר,ה' תשה,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות נערה בתולה",איסר זלמן מלצר,ה' תשיה,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות סוטה",איסר זלמן מלצר,ה' תשיה,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות סנהדרין והעונשין המסורין להם",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות עבדים",איסר זלמן מלצר,ה' תרצח,ירושלים,ירושלים,ה' תרפח - ה' תרפח (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות עבודה זרה וחוקות הגויים",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות עבודת יום הכפורים",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות עדות",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות עירובין",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות פסולי המוקדשין",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות ציצית",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות קרבן פסח",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות קריאת שמע",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות רוצח ושמירת נפש",איסר זלמן מלצר,ה' תרצה,ירושלים,ירושלים,ה' תרפה - ה' תרפה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שאלה ופיקדון",איסר זלמן מלצר,ה' תשה,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שביתת יום טוב",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שבת",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שגגות",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שופר וסוכה ולולב",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שחיטה",איסר זלמן מלצר,ה' תשיה,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שכירות",איסר זלמן מלצר,ה' תשה,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שכנים",איסר זלמן מלצר,ה' תרצח,ירושלים,ירושלים,ה' תרפח - ה' תרפח (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שלוחין ושותפין",איסר זלמן מלצר,ה' תרצח,ירושלים,ירושלים,ה' תרפח - ה' תרפח (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות שקלים",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות תמורה",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות תמידים ומוספין",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות תעניות",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות תפילה וברכת כהנים",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות תפילין ומזוזה וספר תורה",איסר זלמן מלצר,ה' תשכט,ירושלים,ירושלים,ה' תשה - ה' תשה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, הלכות תרומות",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
"אבן האזל על משנה תורה, מסירת תורה שבעל פה",איסר זלמן מלצר,,ירושלים,ירושלים,ה' תרצה - ה' תרצה (בקירוב),,,,,sefaria,file
אבן עזרא,,,,,,,פירוש פשט המשלב ביאורים המבוססים על דקדוק ובלשנות; חובר במאה ה-12.,,10.0,sefaria,folder
אבן עזרא מהדורא תניינא,,,,,,,פירושו השני של אבן עזרא למגילת אסתר ובו נושאים החופפים לפירושו הראשון לצד פירושים חדשים.,,,sefaria,folder
אבן עזרא מהדורא תניינא על אסתר,אבן עזרא,,,צרפת של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על איוב,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על איכה,אבן עזרא,,,רומא,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על אסתר,אבן עזרא,,,רומא,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על במדבר,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על בראשית,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על דברים,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על דניאל,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה,,,,,sefaria,file
אבן עזרא על הושע,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על ויקרא,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על זכריה,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על חבקוק,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על חגי,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על יואל,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיא - ד' תתקיא (בקירוב),,,,,sefaria,file
אבן עזרא על יונה,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיא - ד' תתקיא (בקירוב),,,,,sefaria,file
אבן עזרא על ישעיהו,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על מיכה,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיו,,,,,sefaria,file
אבן עזרא על מלאכי,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיו,,,,,sefaria,file
אבן עזרא על משלי,משה קמחי,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על נחום,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיו,,,,,sefaria,file
אבן עזרא על נחמיה,משה קמחי,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיו,,,,,sefaria,file
אבן עזרא על עובדיה,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיו,,,,,sefaria,file
אבן עזרא על עזרא,משה קמחי,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על עמוס,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיח,,,,,sefaria,file
אבן עזרא על צפניה,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על קהלת,אבן עזרא,ה' רפד,ונציה,רומא,ד' תתקיה,,,,,sefaria,file
אבן עזרא על רות,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על שיר השירים,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה,,,,,sefaria,file
אבן עזרא על שמות,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיה - ד' תתקיה (בקירוב),,,,,sefaria,file
אבן עזרא על תהילים,אבן עזרא,ה' רפד,ונציה,צרפת / איטליה / אנגליה של ימי הביניים,ד' תתקיו,,,,,sefaria,file
אברבנאל,,,,,,פירוש לתורה ולנביאים מן המאה ה-15; כל קטע חדש בו נפתח ברשימת שאלות על הפסוקים.,פירוש לתורה ולנביאים מן המאה ה-15; כל קטע חדש בו נפתח ברשימת שאלות על הפסוקים.,,,sefaria,folder
אברבנאל על הושע,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),ג,ג,,,sefaria,file
אברבנאל על זכריה,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על חבקוק,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על חגי,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על יהושע,אברבנאל,ה' רעא,פזארו,"טולדו, ספרד",ה' רמד,,,,,sefaria,file
אברבנאל על יואל,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על יונה,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על יחזקאל,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על ירמיהו,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על ישעיהו,אברבנאל,ה' רעט - ה' רעט,פזארו,מונופולי ,ה' רנו - ה' רנו (בקירוב),,,,,sefaria,file
אברבנאל על מורה נבוכים,אברבנאל,ה' תקצא,פראג,ונציה,ה' רנב - ה' רנב (בקירוב),,חיבור מהמאה ה-16 שנכתב על ידי רבי יצחק בן יהודה אַבְּרַבַנְאֵל על מורה הנבוכים לרמב״ם.,"״אַבְּרַבַנְאֵל על המורה״ הוא פירוש מהמאה ה-16 על הספר מורה נבוכים לרמב״ם. נכתב על ידי רבי יצחק בן יהודה אַבְּרַבַנְאֵל שנודע בפירושו על התנ״ך ובתפקידיו כשר האוצר של פורטוגל וממלכות נוספות באזור. בדומה לפירושו על התנ״ך, אברבנאל נוקט עמדה מורכבת כלפי דעותיו של הרמב״ם ולא חושש להביע את סלידתו מתפיסתו הרציונליסטית של הרמב״ם בסוגיית הנבואה. בנוסף, אברבנאל מעלה תהיות לגבי פירושם המטאפורי של מונחים מהתנ״ך בחלק א׳ של מורה נבוכים.",,sefaria,file
אברבנאל על מיכה,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על מלאכי,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על מלכים א,אברבנאל,ה' רעא,פזארו,"טולדו, ספרד",ה' רמד,,,,,sefaria,file
אברבנאל על מלכים ב,אברבנאל,ה' רעא,פזארו,"טולדו, ספרד",ה' רמד,,,,,sefaria,file
אברבנאל על נחום,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על עובדיה,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על עמוס,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רמד - ה' רמד (בקירוב),,,,,sefaria,file
אברבנאל על צפניה,אברבנאל,ה' רעט - ה' רעט,פזארו,ונציה,ה' רסב - ה' רסב (בקירוב),,,,,sefaria,file
אברבנאל על שופטים,אברבנאל,ה' רעא,פזארו,"טולדו, ספרד",ה' רמד,,,,,sefaria,file
אברבנאל על שמואל א,אברבנאל,ה' רעא,פזארו,"טולדו, ספרד",ה' רמד,,,,,sefaria,file
אברבנאל על שמואל ב,אברבנאל,ה' רעא,פזארו,"טולדו, ספרד",ה' רמד,,,,,sefaria,file
